"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"Great Sankey","United Kingdom",43793,53.3923,-2.63994,"Great Sankey","43,793"
"Greenock","United Kingdom",43690,55.9484,-4.76121,"Greenock","43,690"
"Ashton-under-Lyne","United Kingdom",43675,53.4888,-2.0989,"Ashton-under-Lyne","43,675"
"Leigh","United Kingdom",43626,53.4964,-2.51973,"Leigh","43,626"
"Leatherhead","United Kingdom",43544,51.2965,-0.3338,"Leatherhead","43,544"
"Letchworth Garden City","United Kingdom",43529,51.9794,-0.22664,"Letchworth Garden City","43,529"
"Newark on Trent","United Kingdom",43363,53.0667,-0.81667,"Newark on Trent","43,363"
"Worksop","United Kingdom",43252,53.3018,-1.12404,"Worksop","43,252"
"Bury St Edmunds","United Kingdom",42812,52.2463,0.71111,"Bury St Edmunds","42,812"
"Kirkby","United Kingdom",42744,53.4814,-2.89215,"Kirkby","42,744"
"Wallsend","United Kingdom",42739,54.9911,-1.53397,"Wallsend","42,739"
"Redruth","United Kingdom",42690,50.2332,-5.22434,"Redruth","42,690"
"Welling","United Kingdom",42500,51.4625,0.10759,"Welling","42,500"
"Christchurch","United Kingdom",42396,50.7358,-1.78129,"Christchurch","42,396"
"Andover","United Kingdom",42276,51.2113,-1.49393,"Andover","42,276"
"Stretford","United Kingdom",41953,53.45,-2.31667,"Stretford","41,953"
"Dover","United Kingdom",41709,51.126,1.31257,"Dover","41,709"
"Hatfield","United Kingdom",41677,51.7634,-0.22419,"Hatfield","41,677"
"Altrincham","United Kingdom",41548,53.3875,-2.34848,"Altrincham","41,548"
"Coity","United Kingdom",41352,51.522,-3.55531,"Coity","41,352"
"Newburn","United Kingdom",41347,54.9876,-1.74415,"Newburn","41,347"
"Boston","United Kingdom",41340,52.9763,-0.02664,"Boston","41,340"
"Holloway","United Kingdom",41329,51.5524,-0.12497,"Holloway","41,329"
"Lytham St Annes","United Kingdom",41327,53.7426,-2.997,"Lytham St Annes","41,327"
"Bridgwater","United Kingdom",41276,51.1284,-3.00356,"Bridgwater","41,276"
"Urmston","United Kingdom",41198,53.4485,-2.35419,"Urmston","41,198"
"Wokingham","United Kingdom",41143,51.4112,-0.83565,"Wokingham","41,143"
"Swadlincote","United Kingdom",40960,52.774,-1.55744,"Swadlincote","40,960"
"Trowbridge","United Kingdom",40952,51.3189,-2.20861,"Trowbridge","40,952"
"Prescot","United Kingdom",40889,53.4295,-2.80031,"Prescot","40,889"
"Bexhill-on-Sea","United Kingdom",40478,50.8502,0.47095,"Bexhill-on-Sea","40,478"
"Bloxwich","United Kingdom",40000,52.6181,-2.00431,"Bloxwich","40,000"
"Ewell","United Kingdom",39994,51.3495,-0.2494,"Ewell","39,994"
"North Shields","United Kingdom",39747,55.0165,-1.44925,"North Shields","39,747"
"Glenrothes","United Kingdom",39100,56.1951,-3.17316,"Glenrothes","39,100"
"Skelmersdale","United Kingdom",38944,53.5502,-2.77348,"Skelmersdale","38,944"
"Fleet","United Kingdom",38726,51.2833,-0.83333,"Fleet","38,726"
"Abingdon","United Kingdom",38676,51.6711,-1.28278,"Abingdon","38,676"
"Tonbridge","United Kingdom",38657,51.1953,0.27363,"Tonbridge","38,657"
"Ramsgate","United Kingdom",38624,51.3357,1.41797,"Ramsgate","38,624"
"Ilkeston","United Kingdom",38587,52.9706,-1.30951,"Ilkeston","38,587"
"Coalville","United Kingdom",38245,52.7225,-1.3702,"Coalville","38,245"
"Canvey Island","United Kingdom",38170,51.522,0.5809,"Canvey Island","38,170"
"Surbiton","United Kingdom",38158,51.3915,-0.29825,"Surbiton","38,158"
"Whitley Bay","United Kingdom",38055,55.0397,-1.44713,"Whitley Bay","38,055"
"Greenford","United Kingdom",38000,51.5287,-0.35508,"Greenford","38,000"
"Arnold","United Kingdom",37873,53,-1.13333,"Arnold","37,873"
"Houghton-Le-Spring","United Kingdom",37840,54.8403,-1.46427,"Houghton-Le-Spring","37,840"
"Bishops Stortford","United Kingdom",37838,51.8711,0.15868,"Bishops Stortford","37,838"
"Leyland","United Kingdom",37614,53.6979,-2.68758,"Leyland","37,614"
"Rushden","United Kingdom",37584,52.2893,-0.60184,"Rushden","37,584"
"Leighton Buzzard","United Kingdom",37469,51.9172,-0.65802,"Leighton Buzzard","37,469"
"Yeadon","United Kingdom",37379,53.8644,-1.68743,"Yeadon","37,379"
"Blyth","United Kingdom",37339,55.1271,-1.50856,"Blyth","37,339"
"Eccles","United Kingdom",37275,53.4833,-2.33333,"Eccles","37,275"
"Redcar","United Kingdom",37203,54.6166,-1.05999,"Redcar","37,203"
"Airdrie","United Kingdom",37130,55.866,-3.98025,"Airdrie","37,130"
"Peterlee","United Kingdom",37015,54.7603,-1.33649,"Peterlee","37,015"
"Farnham","United Kingdom",36971,51.2144,-0.80054,"Farnham","36,971"
"Chester-le-Street","United Kingdom",36917,54.8586,-1.57408,"Chester-le-Street","36,917"
"Great Malvern","United Kingdom",36770,52.1116,-2.32515,"Great Malvern","36,770"
"Herne Bay","United Kingdom",36642,51.373,1.12857,"Herne Bay","36,642"
"Wilmslow","United Kingdom",36617,53.328,-2.23148,"Wilmslow","36,617"
"Newton Abbot","United Kingdom",36474,50.5286,-3.61186,"Newton Abbot","36,474"
"Stirling","United Kingdom",36440,56.119,-3.93682,"Stirling","36,440"
"Mangotsfield","United Kingdom",36427,51.4878,-2.50403,"Mangotsfield","36,427"
"Billericay","United Kingdom",36338,51.6287,0.41963,"Billericay","36,338"
